Ion        Z   N  E_th(eV)  E_max(eV)   E_0(eV)  sigma_0(Mb)       y_a         P       y_w       y_0       y_1  Notes
Si+++++     14   9  2.051E+2   1.946E+3  6.305E+1     7.293E+1  1.558E+2  2.400E+0  2.989E-3  1.115E+0  8.051E-2  C
Si++++++    14   8  2.465E+2   2.001E+3  3.277E-1     6.680E-2  4.132E+1  1.606E+1  3.280E+0  1.149E-2  6.396E-1  C
Si+++++++   14   7  3.032E+2   2.058E+3  7.655E-1     3.477E-1  3.733E+2  8.986E+0  1.476E-3  3.850E+2  8.999E-2  C
Si++++++++     14   6  3.511E+2   2.125E+3  3.343E-1     1.465E-1  1.404E+3  8.503E+0  1.646E+0  1.036E+3  2.936E-1  C
Si+++++++++      14   5  4.014E+2   2.194E+3  8.787E-1     1.950E-1  7.461E+2  8.302E+0  4.489E-1  4.528E+2  1.015E+0  C
Si++++++++++     14   4  4.761E+2   2.268E+3  1.205E+1     1.992E+4  1.582E+0  2.425E+1  2.392E+1  1.990E-2  1.007E-2  C
Si+++++++++++    14   3  5.235E+2   2.336E+3  3.560E+1     2.539E+1  3.307E+1  4.728E+0  0.000E+0  0.000E+0  0.000E+0  B
Si++++++++++++   14   2  2.438E+3   5.000E+4  2.752E+2     4.754E+1  2.848E+1  2.135E+0  0.000E+0  0.000E+0  0.000E+0  B
Si+++++++++++++    14   1  2.673E+3   5.000E+4  8.447E+1     2.793E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
S+      16  16  1.036E+1   1.700E+2  1.808E+1     4.564E+4  1.000E+0  1.361E+1  6.385E-1  9.935E-1  2.486E-1  E
S+      16  15  2.333E+1   1.846E+2  8.787E+0     3.136E+2  3.442E+0  1.281E+1  7.354E-1  2.782E+0  1.788E-1  E
S++     16  14  3.483E+1   1.995E+2  2.027E+0     6.666E+0  5.454E+1  8.611E+0  4.109E+0  1.568E+1  9.421E+0  D
S+++      16  13  4.731E+1   2.164E+2  2.173E+0     2.606E+0  6.641E+1  8.655E+0  1.863E+0  1.975E+1  3.361E+0  C
S++++       16  12  7.268E+1   2.350E+2  1.713E-1     5.072E-4  1.986E+2  1.307E+1  7.880E-1  9.424E+1  6.265E-1  C
S+++++      16  11  8.805E+1   2.557E+2  1.413E+1     9.139E+0  1.656E+3  3.626E+0  0.000E+0  0.000E+0  0.000E+0  B
S++++++     16  10  2.809E+2   2.569E+3  3.757E-1     5.703E-1  1.460E+2  1.135E+1  1.503E+0  2.222E+2  4.606E+0  C
S+++++++    16   9  3.282E+2   2.641E+3  1.462E+1     3.161E+1  1.611E+1  8.642E+0  1.153E-3  1.869E+1  3.037E-1  C
S++++++++      16   8  3.791E+2   2.705E+3  1.526E-1     9.646E+3  1.438E+3  5.977E+0  1.492E+0  1.615E-3  4.049E-1  C
S+++++++++       16   7  4.471E+2   2.782E+3  1.040E+1     5.364E+1  3.641E+1  7.090E+0  2.310E+0  1.775E+1  1.663E+0  C
S++++++++++      16   6  5.048E+2   2.859E+3  6.485E+0     1.275E+1  6.583E+1  7.692E+0  1.678E+0  3.426E+1  1.370E-1  C
S+++++++++++     16   5  5.647E+2   2.941E+3  2.443E+0     3.490E-1  5.411E+2  7.769E+0  7.033E-1  2.279E+2  1.172E+0  C
S++++++++++++    16   4  6.517E+2   3.029E+3  1.474E+1     2.294E+4  1.529E+0  2.568E+1  2.738E+1  2.203E-2  1.073E-2  C
S+++++++++++++     16   3  7.072E+2   3.107E+3  3.310E+1     2.555E+1  3.821E+1  5.037E+0  0.000E+0  0.000E+0  0.000E+0  B
S++++++++++++++      16   2  3.224E+3   5.000E+4  4.390E+2     2.453E+1  4.405E+1  1.765E+0  0.000E+0  0.000E+0  0.000E+0  B
S+++++++++++++++     16   1  3.494E+3   5.000E+4  1.104E+2     2.139E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Ar      18  18  1.576E+1   2.492E+2  1.709E+1     2.106E+1  2.645E+2  4.796E+0  4.185E-1  1.688E+0  8.943E-1  D^b
Ar+     18  17  2.763E+1   2.662E+2  2.494E+1     2.503E+1  1.272E+2  4.288E+0  5.108E-1  9.299E-1  7.195E-1  D
Ar++    18  16  4.074E+1   2.801E+2  1.417E+1     3.580E+1  3.776E+2  5.742E+0  6.316E-1  2.384E+0  1.794E+0  D
Ar+++     18  15  5.981E+1   2.987E+2  6.953E+0     2.035E+1  1.400E+1  9.595E+0  8.842E-1  7.501E+0  1.806E-1  C
Ar++++      18  14  7.502E+1   3.200E+2  1.031E+1     9.946E+0  7.444E-1  6.261E+0  4.885E-1  6.406E+0  3.659E-3  C
Ar+++++     18  13  9.101E+1   3.426E+2  5.440E-1     1.080E+0  9.419E+2  7.582E+0  1.107E+1  1.700E+2  1.587E+1  C
Ar++++++    18  12  1.243E+2   3.667E+2  2.966E-2     3.693E+0  9.951E+3  7.313E+0  1.363E-2  4.383E-4  2.513E+0  C
Ar+++++++   18  11  1.435E+2   3.925E+2  3.884E+0     3.295E+1  7.082E+2  4.645E+0  0.000E+0  0.000E+0  0.000E+0  B
Ar++++++++     18  10  4.225E+2   3.361E+3  1.926E-1     8.279E-1  2.392E+2  1.121E+1  1.434E+0  3.814E+1  4.649E+0  C
Ar+++++++++      18   9  4.787E+2   3.446E+3  1.040E+1     8.204E+0  1.495E+1  1.115E+1  9.203E-4  3.804E+1  6.390E-1  C
Ar++++++++++     18   8  5.390E+2   3.523E+3  1.257E-1     1.760E+3  1.579E+3  6.714E+0  1.975E+0  3.286E-3  3.226E-1  C
Ar+++++++++++    18   7  6.183E+2   3.613E+3  5.310E+0     7.018E-1  1.001E+2  8.939E+0  4.987E-1  1.099E+2  2.202E-1  C
Ar++++++++++++   18   6  6.861E+2   3.702E+3  3.209E-1     2.459E-2  2.285E+3  8.810E+0  6.692E-1  2.068E+3  2.113E+1  C
Ar+++++++++++++    18   5  7.558E+2   3.798E+3  1.557E+0     4.977E-2  5.031E+2  8.966E+0  2.938E-1  4.552E+2  6.459E+0  C
Ar++++++++++++++     18   4  8.548E+2   3.898E+3  1.888E+1     2.571E+4  1.475E+0  2.634E+1  2.909E+1  2.445E-2  1.054E-2  C
Ar+++++++++++++++    18   3  9.180E+2   3.988E+3  4.154E+1     2.135E+1  4.118E+1  4.945E+0  0.000E+0  0.000E+0  0.000E+0  B
Ar++++++++++++++++   18   2  4.121E+3   5.000E+4  4.468E+2     3.108E+1  3.039E+1  2.092E+0  0.000E+0  0.000E+0  0.000E+0  B
Ar+++++++++++++++++  18   1  4.426E+3   5.000E+4  1.399E+2     1.690E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Ca      20  20  6.113E+0   3.443E+1  1.278E+1     5.370E+5  3.162E-1  1.242E+1  4.477E-1  1.012E-3  1.851E-2  E^e
Ca+     20  19  1.178E+1   4.090E+1  1.553E+1     1.064E+7  7.790E-1  2.130E+1  6.453E-1  2.161E-3  6.706E-2  E^be
Ca++    20  18  5.091E+1   3.731E+2  2.436E+1     3.815E+1  2.931E+2  3.944E+0  3.126E-1  1.802E+0  1.233E+0  E
Ca+++     20  17  6.727E+1   3.944E+2  4.255E+0     7.736E+0  1.355E+1  1.236E+1  1.369E+0  1.467E+1  3.298E-2  C
Ca++++      20  16  8.451E+1   4.175E+2  6.882E-1     1.523E-1  1.502E+2  1.061E+1  8.227E+0  1.210E+2  3.876E+0  C
Ca+++++     20  15  1.088E+2   4.423E+2  9.515E+0     7.642E+1  8.973E+1  5.141E+0  2.471E+0  4.829E+0  5.824E+0  C
Ca++++++    20  14  1.272E+2   4.687E+2  8.080E-1     4.760E-1  3.682E+2  8.634E+0  5.720E-1  1.487E+2  1.283E+0  C
Ca+++++++   20  13  1.472E+2   4.967E+2  1.366E+0     6.641E-1  3.188E+2  8.138E+0  2.806E-1  1.039E+2  3.329E+0  C
Ca++++++++     20  12  1.883E+2   5.270E+2  5.520E-2     2.076E+2  1.790E+4  5.893E+0  1.843E-3  2.826E-4  1.657E+0  C
Ca+++++++++      20  11  2.113E+2   5.569E+2  1.605E+1     1.437E+1  6.989E+2  3.857E+0  0.000E+0  0.000E+0  0.000E+0  B
Ca++++++++++     20  10  5.919E+2   4.265E+3  2.288E-1     9.384E-1  2.549E+2  1.103E+1  1.390E+0  2.478E+1  3.100E+0  C^d
Ca+++++++++++    20   9  6.572E+2   4.362E+3  2.345E+1     1.227E+1  1.312E+1  9.771E+0  6.842E-4  2.417E+1  5.469E-1  C^d
Ca++++++++++++   20   8  7.267E+2   4.453E+3  1.008E+1     1.849E+3  1.792E+4  2.868E+0  2.410E+2  6.138E-3  6.931E+1  C
Ca+++++++++++++    20   7  8.177E+2   4.555E+3  9.980E+0     1.116E+0  5.918E+1  9.005E+0  3.879E+0  7.104E+1  5.311E+0  C
Ca++++++++++++++     20   6  8.946E+2   4.659E+3  1.309E+2     5.513E+1  3.828E+2  2.023E+0  9.084E-2  1.833E-2  9.359E-1  C
Ca+++++++++++++++    20   5  9.745E+2   4.767E+3  4.293E+0     1.293E+0  1.691E+1  1.438E+1  3.461E-5  9.363E+1  4.589E-2  C
Ca++++++++++++++++   20   4  1.087E+3   4.880E+3  2.618E+1     2.028E+4  1.456E+0  2.560E+1  2.803E+1  2.402E-2  9.323E-3  C
Ca+++++++++++++++++  20   3  1.157E+3   4.982E+3  9.472E+1     1.105E+1  3.818E+1  4.192E+0  0.000E+0  0.000E+0  0.000E+0  B
Ca++++++++++++++++++    20   2  5.129E+3   5.000E+4  6.297E+2     1.936E+4  3.921E+1  1.862E+0  0.000E+0  0.000E+0  0.000E+0  B
Ca+++++++++++++++++++     20   1  5.470E+3   5.000E+4  1.729E+2     1.369E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Fe      26  26  7.902E+0   6.600E+1  5.461E-2     3.062E+1  2.671E+7  7.923E+0  2.069E+1  1.382E+2  2.481E-1  E^e
Fe+     26  25  1.619E+1   7.617E+1  1.761E-1     4.365E+3  6.298E+3  5.204E+0  1.141E+1  9.272E+1  1.075E+2  E^e
Fe++    26  24  3.065E+1   8.705E+1  1.698E-1     6.107E+0  1.555E+3  8.055E+0  8.698E+0  1.760E+2  1.847E+1  D^e
Fe+++     26  23  5.480E+1   1.067E+2  2.544E+1     3.653E+2  8.913E+0  6.538E+0  5.602E-1  0.000E+0  0.000E+0  F^e
Fe++++      26  22  7.501E+1   1.288E+2  7.256E-1     1.523E-3  3.736E+1  1.767E+1  5.064E+1  8.871E+1  5.280E-2  F^e
Fe+++++     26  21  9.906E+1   1.527E+2  2.656E+0     5.259E-1  1.450E+1  1.632E+1  1.558E+1  3.361E+1  3.743E-3  F^e
Fe++++++    26  20  1.250E+2   1.783E+2  5.059E+0     2.420E+4  4.850E+4  2.374E+0  2.516E-3  4.546E-1  2.683E+1  D^e
Fe+++++++   26  19  1.511E+2   2.055E+2  7.098E-2     1.979E+1  1.745E+4  6.750E+0  2.158E+2  2.542E+3  4.672E+2  D^e
Fe++++++++     26  18  2.336E+2   9.211E+2  6.741E+0     2.687E+1  1.807E+2  6.290E+0  2.387E-4  2.494E+1  8.251E+0  C
Fe+++++++++      26  17  2.621E+2   9.590E+2  6.886E+1     6.470E+1  2.062E+1  4.111E+0  2.778E-4  1.190E-5  6.570E-3  C
Fe++++++++++     26  16  2.902E+2   9.983E+2  8.284E+0     3.281E+0  5.360E+1  8.571E+0  3.279E-1  2.971E+1  5.220E-1  C
Fe+++++++++++    26  15  3.308E+2   1.039E+3  6.295E+0     1.738E+0  1.130E+2  8.037E+0  3.096E-1  4.671E+1  1.425E-1  C
Fe++++++++++++   26  14  3.610E+2   1.081E+3  1.317E-1     2.791E-3  2.487E+3  9.791E+0  6.938E-1  2.170E+3  6.852E-3  C
